,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
0,Stanford University,Yes,2021,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,0.043,1440.0,1570.0,32.0,35.0
1,Harvard College,Yes,2021,Harvard has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Harvard does not offer merit-based aid.,42749,0.047,1460.0,1580.0,33.0,35.0
2,Princeton University,Yes,2021,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,0.055,1440.0,1570.0,32.0,35.0
3,Columbia University,Yes,2021,Columbia has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Columbia does not offer merit-based aid.,40203,0.055,1450.0,1560.0,33.0,35.0
4,Yale University,Yes,2021,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,0.061,1460.0,1570.0,33.0,35.0
5,California Institute of Technology,Yes (TB),2021 2022,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,0.064,,1560.0,35.0,36.0
6,Massachusetts Institute of Technology,Yes,2021,MIT has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. MIT will not consider SAT Subject Test scores. MIT does not offer merit-based aid.,21706,0.067,,1570.0,34.0,36.0
7,Brown University,Yes,2021,Brown has adopted a one-year test optional policy for the 2020-21 admission cycle. Brown does not offer merit-based aid.,38674,0.071,,1570.0,33.0,35.0
8,University of Chicago,Yes,All / Permanent Policy,UChicago offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,32283,0.073,,1570.0,33.0,35.0
9,Pomona College,Yes,2021,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,0.074,1390.0,1540.0,32.0,35.0
10,University of Pennsylvania,Yes,2021,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,0.077,1450.0,1560.0,33.0,35.0
11,Dartmouth College,Yes,2021,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,0.079,1440.0,1560.0,32.0,35.0
12,Bowdoin College,Yes,All / Permanent Policy,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,0.088,1330.0,1520.0,31.0,34.0
